A002020,코오롱,KOSPI,1,금융업
A002025,코오롱우,KOSPI,1,금융업
A002030,아세아,KOSPI,1,서비스업
A002070,비비안,KOSPI,1,"섬유,의복"
A002100,경농,KOSPI,1,화학
A002140,고려산업,KOSPI,1,음식료품
A002150,도화엔지니어링,KOSPI,1,서비스업
A002170,삼양통상,KOSPI,1,소형(시가총액)
A002200,한국수출포장,KOSPI,1,"종이,목재"
A002210,동성제약,KOSPI,1,의약품
A002220,한일철강,KOSPI,1,"철강,금속"
A002240,고려제강,KOSPI,1,"철강,금속"
A002270,롯데푸드,KOSPI,1,음식료품
A002310,아세아제지,KOSPI,1,"종이,목재"
A002320,한진,KOSPI,1,운수창고
A002350,넥센타이어,KOSPI,1,화학
A002355,넥센타이어1우B,KOSPI,1,화학
A002360,SH에너지화학,KOSPI,1,화학
A002380,KCC,KOSPI,1,화학
A002390,한독,KOSPI,1,의약품
A002410,범양건영,KOSPI,1,건설업
A002420,세기상사,KOSPI,1,서비스업
A002450,삼익악기,KOSPI,1,소형(시가총액)
A002460,화성산업,KOSPI,1,건설업
A002600,조흥,KOSPI,1,음식료품
A002620,제일파마홀딩스,KOSPI,1,서비스업
A002630,오리엔트바이오,KOSPI,1,의약품
A002690,동일제강,KOSPI,1,"철강,금속"
A002700,신일전자,KOSPI,1,유통업
A002710,TCC스틸,KOSPI,1,"철강,금속"
A002720,국제약품,KOSPI,1,의약품
A002760,보락,KOSPI,1,화학
A002780,진흥기업,KOSPI,1,건설업
A002785,진흥기업우B,KOSPI,1,건설업
A002787,진흥기업2우B,KOSPI,1,건설업
A002790,아모레G,KOSPI,1,화학
A002795,아모레G우,KOSPI,1,화학
A00279K,아모레G3우(전환),KOSPI,1,화학
A002810,삼영무역,KOSPI,1,유통업
A002820,SUN&L,KOSPI,1,"종이,목재"
A002840,미원상사,KOSPI,1,화학
A002870,신풍제지,KOSPI,1,"종이,목재"
A002880,대유에이텍,KOSPI,1,운송장비
A002900,TYM,KOSPI,1,기계
A002920,유성기업,KOSPI,1,운송장비
A002960,한국쉘석유,KOSPI,1,화학
A002990,금호건설,KOSPI,1,건설업
A002995,금호건설우,KOSPI,1,건설업
A003000,부광약품,KOSPI,1,의약품
A003010,혜인,KOSPI,1,유통업
A003030,세아제강지주,KOSPI,1,금융업
A003060,에이프로젠제약,KOSPI,1,의약품
A003070,코오롱글로벌,KOSPI,1,건설업
A003075,코오롱글로벌우,KOSPI,1,건설업
A003080,성보화학,KOSPI,1,화학
A003090,대웅,KOSPI,1,금융업
A003120,일성신약,KOSPI,1,의약품
A003160,디아이,KOSPI,1,의료정밀
A003200,일신방직,KOSPI,1,"섬유,의복"
A003220,대원제약,KOSPI,1,의약품
A003230,삼양식품,KOSPI,1,음식료품
A003240,태광산업,KOSPI,1,화학
A003280,흥아해운,KOSPI,1,운수창고
A003300,한일홀딩스,KOSPI,1,비금속광물
A003350,한국화장품제조,KOSPI,1,화학
A003410,쌍용C&E,KOSPI,1,비금속광물
A003460,유화증권,KOSPI,1,증권
